site_id,n_measurements,first_date,last_date
747.0,2,2005-07-04,2005-07-04
748.0,2,2005-07-05,2005-07-05
749.0,2,2005-07-05,2005-07-05
750.0,2,2005-07-05,2005-07-05
751.0,2,2005-07-06,2005-07-06
752.0,2,2005-07-06,2005-07-06
753.0,2,2005-07-07,2005-07-07
754.0,2,2005-07-07,2005-07-07
755.0,2,1993-04-21,1993-04-21
756.0,2,1993-04-22,1993-04-22
757.0,2,1993-04-22,1993-04-22
758.0,2,1993-04-27,1993-04-27
759.0,2,1993-04-27,1993-04-27
760.0,2,1993-04-28,1993-04-28
761.0,2,2012-08-29,2012-08-29
762.0,2,2012-08-30,2012-08-30
763.0,2,2012-08-30,2012-08-30
764.0,2,1999-05-03,1999-05-03
765.0,2,1999-05-04,1999-05-04
766.0,2,1999-05-04,1999-05-04
767.0,2,1999-05-05,1999-05-05
768.0,2,1999-05-06,1999-05-06
769.0,2,1999-05-06,1999-05-06
770.0,2,1988-05-26,1988-05-26
771.0,2,1988-05-26,1988-05-26
772.0,2,1988-05-27,1988-05-27
773.0,2,1988-05-30,1988-05-30
774.0,2,1988-05-31,1988-05-31
775.0,2,1993-06-08,1993-06-08
776.0,2,1993-06-09,1993-06-09
777.0,2,1991-09-16,1991-09-16
778.0,2,1991-09-17,1991-09-17
779.0,2,1988-08-29,1988-08-29
780.0,2,1988-08-29,1988-08-29
781.0,2,1988-08-30,1988-08-30
782.0,2,1988-08-30,1988-08-30
783.0,2,1988-08-30,1988-08-30
784.0,2,1988-08-30,1988-08-30
785.0,2,1988-08-31,1988-08-31
786.0,2,1996-06-24,1996-06-24
787.0,2,1996-06-24,1996-06-24
788.0,2,1996-06-24,1996-06-24
789.0,2,1996-06-25,1996-06-25
790.0,2,1996-06-25,1996-06-25
791.0,2,1996-06-25,1996-06-25
792.0,2,1996-06-26,1996-06-26
793.0,2,1996-06-26,1996-06-26
794.0,2,1996-06-26,1996-06-26
795.0,2,1996-06-27,1996-06-27
