measurement_id,date,mthw,mtnw,planned_bed_depth,actual_bed_depth,site_id,site_name,parent_id,km_start,km_end,diver_name,protocolist_name,case_worker_name
1638,2005-07-04,56.0,0.0,-1.399999976158142,-1.399999976158142,747,0001,249.0,,,WSA Magdeburg,ichich,
3710,2005-07-04,56.0,0.0,-1.399999976158142,-1.399999976158142,747,0001,249.0,,,,,Eißfeldt
1639,2005-07-05,56.0,0.0,-2.0,-2.0,748,0002,249.0,,,WSA Magdeburg,ichich,
3711,2005-07-05,56.0,0.0,-2.0,-2.0,748,0002,249.0,,,,,Eißfeldt
3712,2005-07-05,56.0,0.0,-3.0,-3.0,749,0003,249.0,,,,,Eißfeldt
1640,2005-07-05,56.0,0.0,-3.0,-3.0,749,0003,249.0,,,WSA Magdeburg,ichich,
3713,2005-07-05,56.0,0.0,-3.5,-3.5,750,0004,249.0,,,,,Eißfeldt
1641,2005-07-05,56.0,0.0,-3.5,-3.5,750,0004,249.0,,,WSA Magdeburg,ichich,
3714,2005-07-06,56.0,0.0,-3.0,-3.0,751,0005,249.0,,,,,Eißfeldt
1642,2005-07-06,56.0,0.0,-3.0,-3.0,751,0005,249.0,,,WSA Magdeburg,ichich,
1643,2005-07-06,56.0,0.0,-3.5,-3.5,752,0006,249.0,,,WSA Magdeburg,ichich,
3715,2005-07-06,56.0,0.0,-3.5,-3.5,752,0006,249.0,,,,,Eißfeldt
3716,2005-07-07,56.0,0.0,-3.5,-3.5,753,0007,249.0,,,,,Eißfeldt
1644,2005-07-07,56.0,0.0,-3.5,-3.5,753,0007,249.0,,,WSA Magdeburg,ichich,
3717,2005-07-07,56.0,0.0,-3.0,-3.0,754,0008,249.0,,,,,Eißfeldt
1645,2005-07-07,56.0,0.0,-3.0,-3.0,754,0008,249.0,,,WSA Magdeburg,ichich,
2462,1993-04-21,0.0,0.0,-5.900000095367432,-5.900000095367432,755,0003,250.0,,,,,Berndt
382,1993-04-21,0.0,0.0,-5.900000095367432,-5.900000095367432,755,0003,250.0,,,WSA Lübeck,ichich,
383,1993-04-22,0.0,0.0,-5.900000095367432,-5.900000095367432,756,0004,250.0,,,WSA Lübeck,ichich,
2463,1993-04-22,0.0,0.0,-5.900000095367432,-5.900000095367432,756,0004,250.0,,,,,Berndt
2458,1993-04-22,0.0,0.0,-5.800000190734863,-5.800000190734863,757,0005,250.0,,,,,Berndt
378,1993-04-22,0.0,0.0,-5.800000190734863,-5.800000190734863,757,0005,250.0,,,WSA Lübeck,ichich,
2459,1993-04-27,0.0,0.0,-6.800000190734863,-6.800000190734863,758,0006,250.0,,,,,Berndt
379,1993-04-27,0.0,0.0,-6.800000190734863,-6.800000190734863,758,0006,250.0,,,WSA Lübeck,ichich,
380,1993-04-27,0.0,0.0,-5.900000095367432,-5.900000095367432,759,0007,250.0,,,WSA Lübeck,ichich,
