site_id,site_name,parent_id,gok,km_start,km_end,construction_year,corrosion_protection_since,corrosion_protection_type,steel_profile_kind,steel_profile_type,latitude,longitude
2,Elbe - 0,1,,,,,,,,,,
3,"Schmilka, linkes Ufer (Strom-km 3,9)",2,,,,,,,,,50.89125854331134,14.227681159973145
4,"Schmilka, rechtes Ufer (Strom-km 3,9)",2,,,,,,,,,50.891837177002806,14.229515790939331
5,Elbe - 1,1,,,,,,,,,,
6,"Bad Schandau, Brücke (Strom-km 11,6)",5,,,,,,,,,50.9223895519721,14.136556768901562
7,"Dresden, Marienbrücke, rechtes Ufer (Strom-km 56,5)",5,,,,,,,,,51.06099378433736,13.732697043367441
8,"Dresden, Marienbrücke, linkes Ufer (Strom-km 56,5)",5,,,,,,,,,51.060560504577246,13.731304742377798
9,"Meißen (Strom-km 82,2)",5,,,,,,,,,51.16220839288644,13.478334615200875
10,"Zehren, linkes Ufer (Strom-km 89,6)",5,,,,,,,,,51.20760818533479,13.404872086650707
11,"Zehren, rechtes Ufer (Strom-km 89,6)",5,,,,,,,,,51.20766700369833,13.406545941284692
12,"Niederlommatzsch, linkes Ufer (Strom-km 94,4)",5,,,,,,,,,51.24008453675811,13.409539530085056
13,Elbe - 2,1,,,,,,,,,,
14,"Dommitzsch, rechtes Ufer (Strom-km 172,6)",13,,,,,,,,,51.64916129037097,12.896630779035533
15,"Dommitzsch, linkes Ufer (Strom-km 172,6)",13,,,,,,,,,51.648377259355314,12.894969396369103
16,Elbe - von der Saale bis Mündung Weinske,1,,,,,,,,,,
17,"Pretzsch (Strom-km 185,0)",16,,,,,,,,,51.71775928192547,12.81880909633496
18,"Roßlau (Strommitte bei km 257,6)",16,,,,,,,,,51.88093442718585,12.239397041918851
19,"Roßlau (Strom-km 257,7)",16,,,,,,,,,51.881196679335815,12.236544543218413
20,"Mündungsgebiet Mulde (bei Strom-km 259,6)",16,,,,,,,,,51.86921157527775,12.231178167488123
21,"Aken, rechtes Ufer (Strom-km 275,0)",16,,,,,,,,,51.8597713933917,12.056638090958462
22,"Aken, linkes Ufer (Strom-km 275,0)",16,,,,,,,,,51.8586481784036,12.056910894294472
23,"Breitenhagen, linkes Ufer (Strom-km 287,0)",16,,,,,,,,,51.93179603542332,11.948005715694025
24,"Breitenhagen, rechtes Ufer (Strom-km 287,0)",16,,,,,,,,,51.93265969850277,11.949381626154237
25,Elbe - von Saale bis Havel,1,,,,,,,,,,
26,"Schönebeck (Strommitte bei km 311,5)",25,,,,,,,,,52.02474249201936,11.73908963944862
27,"Magdeburg, linkes Ufer (Strom-km 318,1)",25,,,,,,,,,52.06699150162793,11.681809165298434
28,"Magdeburg, rechtes Ufer (Strom-km 322,0)",25,,,,,,,,,52.10052820277384,11.66837160432239
29,"Magdeburg, Sternbrücke (Strom-km 325,1)",25,,,,,,,,,52.11659486501549,11.636704884086045
30,"Tangermünde, linkes Ufer (Strom-km 388,0)",25,,,,,,,,,52.54964544414083,11.984486423187914
31,"Tangermünde, rechtes Ufer (Strom-km 388,0)",25,,,,,,,,,52.54964544414083,11.984486423187914
32,"Tangermünde (Strommitte bei km 389,0)",25,,,,,,,,,52.54964544414083,11.984486423187914
33,"Sandau (Strommitte bei km 416,2)",25,,,,,,,,,52.78605217683264,12.03296685238662
34,34001 Elbe (Geesthacht bis Schnackenburg),1,,,,,,,,,,
35,"Hinzdorf (Strommitte bei km 449,0)",34,,,,,,,,,52.958065161043514,11.817743188713699
36,"Wahrenberg, rechtes Ufer (Strom-km 459,0)",34,,,,,,,,,52.99806978390565,11.683809160211128
37,"Cumlosen (Strom-km 470,0)",34,,,,,,,,,53.03111623950299,11.639982134222857
38,"Schnackenburg (Strom-km 474,5)",34,,,,,,,,,53.03578845831477,11.597142972383166
39,"Schnackenburg (Stromseite links bei km 475,0)",34,,,,,,,,,53.03785560958142,11.567770655831957
40,"Schnackenburg (Stromseite rechts bei km 475,0)",34,,,,,,,,,53.04026224768526,11.571856631195496
41,"Gorleben (Strom-km 492,0)",34,,,,,,,,,53.0557749219943,11.35675767575728
42,"Dömitz, Brücke B191 (Strom-km 505,7)",34,,,,,,,,,53.142806108334966,11.228258179059653
43,"Neu Darchau (Strommitte bei km 536,2)",34,,,,,,,,,53.235241892894855,10.89233986800247
44,"Lauenburg (Strommitte bei km 568,0)",34,,,,,,,,,53.36640939304716,10.561115784819714
45,"Geesthacht (oberhalb des Wehres) - Strom-km 585,5",34,,,,,,,,,53.43160530047651,10.341668986079519
46,Elbe (Ost),1,,,,,,,,,,
47,"Geesthacht (Strom-km 585,9)",46,,,,,,,,,53.42586400621297,10.348949287944048
48,Elbstorf (Strommitte),46,,,,,,,,,53.4236962822506,10.280998569455946
49,"oberhalb Elbstorf - Strom-km 589,0",46,,,,,,,,,53.425806022286466,10.291981520924883
50,"Zollenspieker (Anleger) - Strom-km 598,7",46,,,,,,,,,53.3981487522082,10.184723542116327
51,"Bunthausspitze - Strom-km 609,0",46,,,,,,,,,53.455906267885126,10.07165122081009
