site_id,site_name,parameter,n_observations,first_timestamp,last_timestamp,mean_value,std_value,min_value,max_value
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Abfiltrierbare Stoffe,308,1979-04-18 12:03:00,2023-11-21 14:34:00,21.4516,9.8684,2.9,103.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Ammonium-Stickstoff (NH4-N),337,1977-01-10 12:00:00,2023-11-21 14:34:00,0.7818,1.072,-0.08,4.7
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",BSB 14 (Zehrung 14) ohne Hemmer,171,1986-01-15 14:18:00,2011-11-01 13:13:00,10.1105,4.2335,2.9,22.7
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",BSB 21 (Zehrung 21) ohne Hemmer,172,1986-01-15 14:18:00,2011-11-01 13:13:00,11.5924,4.7885,3.3,25.7
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",BSB 5 (Zehrung 5) ohne Hemmer,110,1977-02-07 12:00:00,1986-12-08 14:53:00,6.37,2.45,0.7,13.9
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",BSB 7 (Zehrung 7) ohne Hemmer,236,1986-01-15 14:18:00,2023-11-21 14:34:00,5.9678,2.6605,1.6,14.1
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Chlorid (Cl),337,1977-01-10 12:00:00,2023-11-21 14:34:00,156.9605,52.5801,30.0,343.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",CSB (chemischer Sauerstoffbedarf),139,1978-01-12 11:50:00,1985-12-04 13:55:00,35.6619,8.2966,18.0,56.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",DOC (gelöster organischer Kohlenstoff),282,1982-01-15 13:42:00,2023-11-21 14:34:00,7.8947,2.6141,4.4,19.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",elektrische Leitfähigkeit (25°C),341,1977-01-10 12:00:00,2023-11-21 14:34:00,99.4135,21.9391,40.5,174.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Gesamthärte (Ca + Mg),11,1981-01-15 16:40:00,1981-11-05 13:40:00,18.5455,3.1101,13.0,22.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Gesamt-Phosphor (P),326,1978-01-12 11:50:00,2023-11-21 14:34:00,0.1741,0.1746,-0.049,0.7
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Gesamt-Stickstoff (N),325,1978-01-12 11:50:00,2023-11-21 14:34:00,4.9252,2.1794,1.1,12.8
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Nitrat-Stickstoff (NO3-N),334,1977-01-10 12:00:00,2023-11-21 14:34:00,2.9709,1.4551,0.14,8.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Nitrit-Stickstoff (NO2-N),336,1977-01-10 12:00:00,2023-11-21 14:34:00,-0.0089,0.1321,-0.09,1.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",ortho-Phosphat-Phosphor (o-PO4-P),336,1977-01-10 12:00:00,2023-11-21 14:34:00,0.0181,0.1084,-0.09,0.77
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",pH-Wert,341,1977-01-10 12:00:00,2023-11-21 14:34:00,7.6848,0.3638,7.0,8.8
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Sauerstoffgehalt,353,1977-01-10 12:00:00,2023-11-21 14:34:00,7.9926,2.8743,1.5,14.3
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Sauerstoffsättigung,331,1977-01-10 12:00:00,2023-11-21 14:34:00,75.435,20.8146,19.0,125.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Silikat-Si,182,1992-02-11 13:22:00,2023-11-21 14:34:00,2.0816,2.1395,-0.09,6.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Silikat (SiO2),59,2013-05-14 13:38:00,2023-11-21 14:34:00,4.6966,4.3744,-0.01,13.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",TIC (anorganischer Kohlenstoff),254,1984-02-08 13:41:00,2023-11-21 14:34:00,23.3299,3.9984,15.0,35.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",TOC (organischer Kohlenstoff),324,1978-01-12 11:50:00,2023-11-21 14:34:00,10.3522,3.9704,4.7,28.0
55,"Köhlbrandbrücke - Strom-km 622,6 (SE)",Wassertemperatur,336,1977-01-10 12:00:00,2023-11-21 14:34:00,13.8349,7.1037,-0.1,25.7
154,"Afrikahöft, Indiahafen",Abfiltrierbare Stoffe,129,1979-04-18 12:21:00,1991-11-12 13:28:00,17.9969,6.537,2.9,39.0
154,"Afrikahöft, Indiahafen",Ammonium-Stickstoff (NH4-N),144,1978-01-12 10:20:00,1991-11-12 13:28:00,1.5456,1.0805,0.0,4.4
154,"Afrikahöft, Indiahafen",BSB 14 (Zehrung 14) ohne Hemmer,51,1986-01-15 14:31:00,1991-11-12 13:28:00,13.1784,3.6771,7.5,24.0
154,"Afrikahöft, Indiahafen",BSB 21 (Zehrung 21) ohne Hemmer,50,1986-02-12 13:09:00,1991-11-12 13:28:00,14.882,3.8114,8.9,22.6
154,"Afrikahöft, Indiahafen",BSB 5 (Zehrung 5) ohne Hemmer,102,1978-01-12 10:20:00,1986-12-08 15:27:00,6.0431,2.394,0.6,13.8
154,"Afrikahöft, Indiahafen",BSB 7 (Zehrung 7) ohne Hemmer,51,1986-01-15 14:31:00,1991-11-12 13:28:00,8.2451,2.1516,5.3,14.0
154,"Afrikahöft, Indiahafen",Chlorid (Cl),144,1978-01-12 10:20:00,1991-11-12 13:28:00,179.8958,59.4157,78.0,347.0
154,"Afrikahöft, Indiahafen",CSB (chemischer Sauerstoffbedarf),139,1978-01-12 10:20:00,1985-12-04 14:08:00,36.0216,8.1182,20.0,58.0
154,"Afrikahöft, Indiahafen",DOC (gelöster organischer Kohlenstoff),97,1982-01-15 13:56:00,1991-11-12 13:28:00,10.9289,2.6132,5.0,19.0
154,"Afrikahöft, Indiahafen",elektrische Leitfähigkeit (25°C),144,1978-01-12 10:20:00,1991-11-12 13:28:00,110.5007,25.5747,51.0,176.0
154,"Afrikahöft, Indiahafen",Filterrückstand,21,1987-02-19 16:07:00,1991-11-12 13:28:00,12.7905,5.1331,4.6,24.5
154,"Afrikahöft, Indiahafen",filtriertes Volumen,21,1987-02-19 16:07:00,1991-11-12 13:28:00,268.2524,367.9858,1.004,952.0
154,"Afrikahöft, Indiahafen",Gesamthärte (Ca + Mg),11,1981-01-15 16:07:00,1981-11-05 13:54:00,19.1818,2.7136,13.0,22.0
154,"Afrikahöft, Indiahafen",Gesamt-Phosphor (P),142,1978-01-12 10:20:00,1991-11-12 13:28:00,0.3056,0.1241,0.08,0.64
154,"Afrikahöft, Indiahafen",Gesamt-Stickstoff (N),139,1978-01-12 10:20:00,1991-11-12 13:28:00,6.7122,1.3464,3.1,9.7
154,"Afrikahöft, Indiahafen",Nitrat-Stickstoff (NO3-N),142,1978-01-12 10:20:00,1991-11-12 13:28:00,3.6096,1.2134,0.87,6.9
154,"Afrikahöft, Indiahafen",Nitrit-Stickstoff (NO2-N),143,1978-01-12 10:20:00,1991-11-12 13:28:00,0.0475,0.1594,-0.08,0.74
154,"Afrikahöft, Indiahafen",ortho-Phosphat-Phosphor (o-PO4-P),143,1978-01-12 10:20:00,1991-11-12 13:28:00,0.0825,0.0867,-0.07,0.6
154,"Afrikahöft, Indiahafen",pH-Wert,144,1978-01-12 10:20:00,1991-11-12 13:28:00,7.4597,0.1775,7.0,8.4
154,"Afrikahöft, Indiahafen",Sauerstoffgehalt,140,1978-01-12 10:20:00,1991-11-12 13:28:00,7.5229,2.4563,1.4,12.5
154,"Afrikahöft, Indiahafen",Sauerstoffsättigung,137,1978-01-12 10:20:00,1991-10-15 13:51:00,70.1533,16.0793,18.0,97.0
154,"Afrikahöft, Indiahafen",Silikat-Si,24,1989-02-09 13:21:00,1991-11-12 13:28:00,3.0488,1.9103,-0.07,5.8
154,"Afrikahöft, Indiahafen",TIC (anorganischer Kohlenstoff),70,1984-02-08 13:55:00,1991-11-12 13:28:00,26.04,4.4998,15.0,40.0
154,"Afrikahöft, Indiahafen",TOC (organischer Kohlenstoff),139,1978-01-12 10:20:00,1991-11-12 13:28:00,13.9432,4.2731,7.0,26.0
154,"Afrikahöft, Indiahafen",Wassertemperatur,141,1978-01-12 10:20:00,1991-10-15 13:51:00,12.1475,7.0319,-0.4,23.8
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Abfiltrierbare Stoffe,310,1979-03-21 13:05:00,2023-11-21 14:37:00,30.3242,13.8425,1.0,102.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Ammonium-Stickstoff (NH4-N),345,1977-01-10 11:25:00,2024-11-05 10:34:00,0.7335,1.0878,-0.09,4.9
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",BSB 14 (Zehrung 14) ohne Hemmer,171,1986-01-15 14:23:00,2011-11-01 13:17:00,12.283,5.3765,2.8,25.8
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",BSB 21 (Zehrung 21) ohne Hemmer,172,1986-01-15 14:23:00,2011-11-01 13:17:00,14.0994,6.1451,3.2,31.1
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",BSB 5 (Zehrung 5) ohne Hemmer,111,1977-02-07 11:30:00,1986-12-08 14:58:00,6.8369,2.6089,0.6,15.3
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",BSB 7 (Zehrung 7) ohne Hemmer,237,1986-01-15 14:23:00,2023-11-21 14:37:00,7.3624,3.3805,1.4,15.5
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Chlorid (Cl),339,1977-01-10 11:25:00,2023-11-21 14:37:00,155.4735,53.5962,30.0,372.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",CSB (chemischer Sauerstoffbedarf),139,1978-01-12 11:20:00,1985-12-04 14:00:00,39.1007,10.5214,20.0,74.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",DOC (gelöster organischer Kohlenstoff),281,1982-01-15 13:48:00,2023-11-21 14:37:00,7.9039,2.6841,4.0,18.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",elektrische Leitfähigkeit (25°C),343,1977-01-10 11:25:00,2023-11-21 14:37:00,98.7239,22.1183,40.2,181.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Gesamthärte (Ca + Mg),11,1981-01-15 16:35:00,1981-11-05 13:45:00,19.1818,2.6007,13.0,23.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Gesamt-Phosphor (P),336,1978-01-12 11:20:00,2024-11-05 10:34:00,0.2002,0.1947,-0.039,0.85
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Gesamt-Stickstoff (N),332,1978-01-12 11:20:00,2024-11-05 10:34:00,4.8543,2.1529,0.73,10.1
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Nitrat-Stickstoff (NO3-N),342,1977-01-10 11:25:00,2024-11-05 10:34:00,2.8625,1.4781,0.1,7.1
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Nitrit-Stickstoff (NO2-N),344,1977-01-10 11:25:00,2024-11-05 10:34:00,-0.0363,0.0987,-0.09,0.63
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",ortho-Phosphat-Phosphor (o-PO4-P),344,1977-01-10 11:25:00,2024-11-05 10:34:00,0.0047,0.0936,-0.09,0.45
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",pH-Wert,343,1977-01-10 11:25:00,2023-11-21 14:37:00,7.8519,0.4808,6.9,9.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Sauerstoffgehalt,356,1977-01-10 11:25:00,2023-11-21 14:37:00,9.3587,2.4032,3.3,14.4
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Sauerstoffsättigung,336,1977-01-10 11:25:00,2023-11-21 14:37:00,89.9405,19.9126,40.0,153.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Silikat-Si,2,1998-05-12 11:46:00,2001-05-07 11:51:00,0.205,0.1485,0.1,0.31
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",TIC (anorganischer Kohlenstoff),255,1984-02-08 13:47:00,2023-11-21 14:37:00,23.1012,4.2887,13.0,36.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",TOC (organischer Kohlenstoff),326,1978-01-12 11:20:00,2023-11-21 14:37:00,11.5359,4.1924,4.6,28.0
8004,"Alte Harburger Elbbrücken - Strom-km 614,9 (SE)",Wassertemperatur,341,1977-01-10 11:25:00,2023-11-21 14:37:00,13.573,7.2361,-0.3,25.7
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Abfiltrierbare Stoffe,311,1979-01-23 14:05:00,2023-11-21 14:42:00,21.5817,9.0576,2.9,70.3
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Ammonium-Stickstoff (NH4-N),334,1978-01-12 10:35:00,2024-11-05 10:37:00,0.7031,1.0191,-0.08,4.4
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",BSB 14 (Zehrung 14) ohne Hemmer,171,1986-01-15 14:29:00,2011-11-01 13:21:00,9.8187,4.2005,2.7,23.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",BSB 21 (Zehrung 21) ohne Hemmer,172,1986-02-12 13:08:00,2011-11-01 13:21:00,11.1297,4.5301,3.2,22.8
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",BSB 5 (Zehrung 5) ohne Hemmer,102,1978-01-12 10:35:00,1986-12-08 15:04:00,6.0275,2.4542,0.8,14.2
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",BSB 7 (Zehrung 7) ohne Hemmer,236,1986-01-15 14:29:00,2023-11-21 14:42:00,5.8051,2.6253,1.4,13.4
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Chlorid (Cl),327,1978-01-12 10:35:00,2023-11-21 14:42:00,156.1563,55.1541,29.0,341.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",CSB (chemischer Sauerstoffbedarf),140,1978-01-12 10:35:00,1985-12-04 14:07:00,35.8571,8.0579,20.0,57.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",DOC (gelöster organischer Kohlenstoff),279,1982-01-15 13:54:00,2023-11-21 14:42:00,7.99,2.862,4.1,22.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",elektrische Leitfähigkeit (25°C),333,1978-01-12 10:35:00,2023-11-21 14:42:00,99.8324,22.5328,39.9,175.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Gesamthärte (Ca + Mg),11,1981-01-15 16:05:00,1981-11-05 13:52:00,18.9091,2.8445,13.0,23.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Gesamt-Phosphor (P),336,1978-01-12 10:35:00,2024-11-05 10:37:00,0.165,0.2308,-0.058,3.2
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Gesamt-Stickstoff (N),331,1978-01-12 10:35:00,2024-11-05 10:37:00,4.8363,2.1361,0.9,10.3
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Nitrat-Stickstoff (NO3-N),332,1978-01-12 10:35:00,2024-11-05 10:37:00,2.948,1.4319,0.1,7.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Nitrit-Stickstoff (NO2-N),333,1978-01-12 10:35:00,2024-11-05 10:37:00,-0.0099,0.1215,-0.09,0.67
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",ortho-Phosphat-Phosphor (o-PO4-P),333,1978-01-12 10:35:00,2024-11-05 10:37:00,0.0073,0.0926,-0.09,0.69
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",pH-Wert,333,1978-01-12 10:35:00,2023-11-21 14:42:00,7.7276,0.3805,6.9,8.8
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Sauerstoffgehalt,346,1978-01-12 10:35:00,2023-11-21 14:42:00,8.0431,2.9414,1.4,14.3
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Sauerstoffsättigung,327,1978-01-12 10:35:00,2023-11-21 14:42:00,76.2752,21.3924,17.0,135.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Silikat-Si,184,1992-02-11 13:30:00,2023-11-21 14:42:00,2.0102,2.1533,-0.09,7.2
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Silikat (SiO2),59,2013-05-14 13:46:00,2023-11-21 14:42:00,4.642,4.5146,-0.08,16.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",TIC (anorganischer Kohlenstoff),252,1984-02-08 13:53:00,2023-11-21 14:42:00,23.4079,3.9783,15.0,36.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",TOC (organischer Kohlenstoff),323,1978-01-12 10:35:00,2023-11-21 14:42:00,10.683,4.3644,4.5,31.0
8052,"Hafenstraße (Brücke 9) - Strom-km 623,5",Wassertemperatur,331,1978-01-12 10:35:00,2023-11-21 14:42:00,13.7471,7.205,-0.4,25.5
8054,"Harburg, Süderelbe (Strom-km 615,6)",Wassertemperatur,4278,1981-01-01 00:00:00,1986-12-31 00:00:00,11.1433,7.2337,-0.1,25.7
